Vendor,Category,Subcategory,Spend
MCCLEERY GOLF CLUBHOUSE,,,35.88
TICKETLEADER ONLINE PN,,,54.5
WHOLE FOODS MARKET,,,55.89
TACOFINO OCHO,,,5.99
TACOFINO OCHO,,,12.25
WHITE SPOT #104,,,25.58
PETSMART INC. 2362,Pet,Food,13
BROADWAY ESSO 37883,,,60.96
TACOFINO OCHO,,,12.25
KOODO MOBILE PAC,,,56
CITY OF VAN PAYBYPHONE,,,1
WOOFLES & MEOWZ,,,29.06
WHOLE FOODS MARKET,,,39.97
TACOFINO OCHO,,,25.22
LONDON DRUGS,,,31.03
STARBUCKS 04327,,,5.26
TACOFINO OCHO,,,25.22
CITY OF VAN PAYBYPHONE,,,4
EVO CAR SHARE,,,5.25
BENKEI RAMEN,,,12.95
WESTPARK,,,1
PETSMART INC. 2362,,,17.15
CITY OF VAN PAYBYPHONE,,,0.25
PETSMART INC. 2362,,,17.15
WHOLE FOODS MARKET,,,55.89
BEST FALFEL,,,2.65
PETSMART INC. 2362,,,26.18
AEBC INTERNET CORP.,,,52.59
CITY OF VAN PAYBYPHONE,,,0.5
EvoCarShare,,,2.24
BURRARD CHEVRON PAP,,,50
COSTCO WHOLESALE W552,,,174.29
SAVE ON FOODS #2219,,,81.81
BENKEI RAMEN,Food,Eating Out,13
BURRARD CHEVRON PAP,,,50
WHITE SPOT #104,,,25.58
DISNEY PLUS,,,8.99
WHOLE FOODS MARKET,,,36.85
STARBUCKS 04327,,,5.98
CITY OF VAN PAYBYPHONE,,,1.25
CINEPLEX #1145,,,31.25
WESTPARK,,,0.33
WHOLE FOODS MARKET,,,28.78
JJ BEAN,,,3.75
WHITE SPOT #104,,,32.25
BEST FALFEL,,,2.65
CITY OF VAN PAYBYPHONE,,,4
CITY OF VAN PAYBYPHONE,,,2
SAVE ON FOODS #2219,,,80.47
BEST FALFEL,,,9.46
SAVE ON FOODS #2219,,,81.81
CRAVE,,,11.19
CITY OF VAN PAYBYPHONE,,,1
JJ BEAN,,,3.75
WHOLE FOODS MARKET,,,55.89
BEST FALFEL,,,10.25
CITY OF VAN PAYBYPHONE,,,0.75
CRAVE,,,11.19
CITY OF VAN PAYBYPHONE,,,1.67
BEST FALFEL,,,8.58
NOFRILLS JOTI'S #3403,,,57.75
CITY OF VAN PAYBYPHONE,,,0.75
MCCLEERY GOLF CLUBHOUSE,,,15.75
MCCLEERY GOLF CLUBHOUSE,,,15.75
JUGO JUICE,,,5.25
BURRARD CHEVRON PAP,,,50
WHOLE FOODS MARKET,,,26.85
WESTPARK,,,3
EvoCarShare,,,1.12
TICKETLEADER ONLINE PN,,,106
BEST FALFEL,,,8.58
CITY OF VAN PAYBYPHONE,,,1
STARBUCKS 04327,,,5.25
FLYING WEDGE PIZZA,Food,Eating Out,4
TACOFINO OCHO,,,5.99
NOFRILLS JOTI'S #3403,,,27.72
BEST BURRITO,,,10.25
CITY OF VAN PAYBYPHONE,,,1.67
LONDON DRUGS,,,31.03
TACOFINO OCHO,,,14.25
WHOLE FOODS MARKET,,,39.97
CITY OF VAN PAYBYPHONE,,,1.67
CITY OF VAN PAYBYPHONE,,,4
WOOFLES & MEOWZ,Pet,Food,8
STARBUCKS 04327,,,5.25
CITY OF VAN PAYBYPHONE,,,0.5
COMPASS ACCOUNT,,,3.25
CITY OF VAN PAYBYPHONE,,,0.25
BENKEI RAMEN,,,12.95
WESTPARK,,,1
BLACK TOP,,,25
BEST BURRITO,,,9.25
BEST FALFEL,,,2.65
BLACK TOP,,,12
JJ BEAN,,,5.55
DISNEY PLUS,,,8.99
CITY OF VAN PAYBYPHONE,,,0.25
EVO CAR SHARE,Transportation,Car Share,5
AEBC INTERNET CORP.,,,52.59
DISNEY PLUS,,,8.99
JJ BEAN,,,4.25
WHITE SPOT #104,,,24.25
STARBUCKS 04327,,,5.25
PETSMART INC. 2362,,,26.18
FLYING WEDGE PIZZA,,,5
CITY OF VAN PAYBYPHONE,,,0.5
EVO CAR SHARE,,,10.99
STARBUCKS 04327,,,5.26
TICKETLEADER ONLINE PN,,,14.76
BEST FALFEL,,,10.25
WOOFLES & MEOWZ,,,29.06
DISNEY PLUS,,,8.99
TACOFINO OCHO,,,12.25
BLACK TOP,,,25
JUGO JUICE,,,9.52
WHOLE FOODS MARKET,,,26.85
BEST FALFEL,,,2.65
NOFRILLS JOTI'S #3403,,,57.75
KOODO MOBILE PAC,,,56
CINEPLEX #1145,,,31.25
Property Management,,,1100
BROADWAY ESSO 37883,,,68.16
